,Unnamed: 0,date_publish,price_sell,price_per_area,building_age,num_bedrooms,area,id_city,id_neighbourhood,id_sub_neighbourhood,id_location,floor,parking,elevator,storeHouse,toiletF,balcony,is_luxury,is_modern,janitor,master_room,roofGarden,pool,sauna,jacuzzi,alachiq,fountain,security,pasio,idFacing,gym
38,105,2026-04-14,43.5,0.2806451612903226,10.0,3.0,155.0,641,42.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,107,2026-04-09,36.0,0.3272727272727272,1.0,3.0,110.0,641,276.0,0.0,0.0,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,108,2026-04-11,10.2,0.1758620689655172,26.0,1.0,58.0,641,211.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,113,2026-04-08,12.7,0.1567901234567901,20.0,2.0,81.0,641,151.0,0.0,0.0,2.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,119,2026-04-08,24.0,0.24,11.0,2.0,100.0,641,196.0,0.0,0.0,5.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,127,2026-04-08,49.9,0.2654255319148936,1.0,3.0,188.0,641,160.0,0.0,0.0,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,128,2026-04-09,19.4,0.2108695652173912,12.0,2.0,92.0,641,203.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,129,2026-04-08,44.0,0.2075471698113207,1.0,3.0,212.0,641,217.0,0.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,137,2026-04-21,13.0,0.1413043478260869,13.0,2.0,92.0,641,254.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,138,2026-04-21,36.1,0.3438095238095238,1.0,2.0,105.0,641,277.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,140,2026-04-21,3.7,0.060655737704918,23.0,1.0,61.0,641,44.0,0.0,0.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,141,2026-04-21,7.25,0.1035714285714285,23.0,1.0,70.0,641,63.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,144,2026-04-11,23.0,0.1811023622047244,3.0,3.0,127.0,641,64.0,250.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,145,2026-04-11,14.0,0.1166666666666666,5.0,2.0,120.0,641,64.0,0.0,0.0,8.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,146,2026-04-11,12.5,0.1666666666666666,25.0,2.0,75.0,641,238.0,0.0,0.0,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,149,2026-04-11,2.56,0.064,9.0,1.0,40.0,641,237.0,0.0,0.0,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,152,2026-04-21,20.45,0.1778260869565217,1.0,2.0,115.0,641,238.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,153,2026-04-21,19.5,0.195,7.0,2.0,100.0,641,238.0,0.0,0.0,4.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,154,2026-04-11,2.9,0.0604166666666666,7.0,1.0,48.0,641,678.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,156,2026-04-11,3.4,0.1096774193548387,25.0,1.0,31.0,641,678.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,164,2026-04-08,5.15,0.0725352112676056,13.0,2.0,71.0,641,63.0,0.0,0.0,4.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,175,2026-04-21,8.5,0.10625,1.0,2.0,80.0,641,228.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,176,2026-04-21,32.0,0.3555555555555555,12.0,2.0,90.0,641,112.0,0.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,177,2026-04-11,9.59,0.1350704225352112,21.0,1.0,71.0,641,123.0,0.0,0.0,3.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,179,2026-04-21,24.5,0.2722222222222222,1.0,2.0,90.0,641,69.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,180,2026-04-21,8.2,0.0706896551724137,4.0,3.0,116.0,641,273.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,182,2026-04-21,19.85,0.2756944444444444,7.0,2.0,72.0,641,217.0,0.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,183,2026-04-21,25.0,0.2747252747252747,20.0,2.0,91.0,641,146.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,186,2026-04-09,28.6,0.2383333333333333,2.0,3.0,120.0,641,60.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,187,2026-04-10,4.5,0.0957446808510638,25.0,1.0,47.0,641,171.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,188,2026-04-21,8.1,0.1396551724137931,10.0,1.0,58.0,641,129.0,0.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,189,2026-04-08,52.5,0.9375,12.0,2.0,56.0,641,111.0,0.0,0.0,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,190,2026-04-08,16.0,0.1142857142857142,1.0,3.0,140.0,641,233.0,0.0,0.0,11.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,192,2026-04-08,36.0,0.2571428571428571,12.0,3.0,140.0,641,1433.0,0.0,0.0,16.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,193,2026-04-10,24.0,0.3,1.0,2.0,80.0,641,213.0,0.0,0.0,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,196,2026-04-11,11.9,0.1630136986301369,22.0,2.0,73.0,641,172.0,0.0,0.0,3.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,197,2026-04-11,18.8,0.1757009345794392,1.0,2.0,107.0,641,172.0,0.0,0.0,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,198,2026-04-11,7.95,0.0957831325301204,15.0,2.0,83.0,641,125.0,0.0,0.0,2.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,199,2026-04-11,16.0,0.16,31.0,2.0,100.0,641,25.0,0.0,0.0,3.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,200,2026-04-11,6.5,0.0755813953488372,25.0,1.0,86.0,641,194.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,202,2026-04-11,19.2,0.16,5.0,2.0,120.0,641,64.0,250.0,0.0,3.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,216,2026-04-10,3.65,0.0663636363636363,23.0,2.0,55.0,641,113.0,0.0,0.0,1.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,217,2026-06-16,8.0,0.125,19.0,2.0,64.0,641,188.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,218,2026-06-16,8.0,0.125,19.0,2.0,64.0,641,188.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,220,2026-06-16,16.5,0.15,0.0,2.0,110.0,641,64.0,0.0,0.0,2.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,221,2026-06-16,53.0,0.3533333333333333,10.0,3.0,150.0,641,112.0,0.0,0.0,4.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,222,2026-06-16,25.5,0.2897727272727273,13.0,2.0,88.0,641,251.0,0.0,0.0,5.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,228,2026-04-10,8.39,0.1290769230769231,25.0,1.0,65.0,641,183.0,0.0,0.0,1.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,229,2026-04-10,3.75,0.0681818181818181,23.0,2.0,55.0,641,113.0,0.0,0.0,2.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
